Level,Category_Name,Forecast_Month,Forecast_Demand,Model_Used
Category,Lighting,2017-09-01,174.0,Holt-Winters
Category,Lighting,2017-10-01,78.0,Holt-Winters
Category,Lighting,2017-11-01,108.0,Holt-Winters
Category,Lighting,2017-12-01,63.0,Holt-Winters
Category,Medicine,2017-01-01,1776.0,Naive
Category,Medicine,2017-02-01,1776.0,Naive
Category,Medicine,2017-03-01,1776.0,Naive
Category,Medicine,2017-04-01,1776.0,Naive
Category,Medicine,2017-05-01,1776.0,Naive
Category,Medicine,2017-06-01,1776.0,Naive
Category,Medicine,2017-07-01,1776.0,Naive
Category,Medicine,2017-08-01,1776.0,Naive
Category,Medicine,2017-09-01,1776.0,Naive
Category,Medicine,2017-10-01,1776.0,Naive
Category,Medicine,2017-11-01,1776.0,Naive
Category,Medicine,2017-12-01,1776.0,Naive
Category,Mobile_Devices,2016-01-01,1491.0,Holt-Winters
Category,Mobile_Devices,2016-02-01,1448.0,Holt-Winters
Category,Mobile_Devices,2016-03-01,2287.0,Holt-Winters
Category,Mobile_Devices,2016-04-01,1604.0,Holt-Winters
Category,Mobile_Devices,2016-05-01,934.0,Holt-Winters
Category,Mobile_Devices,2016-06-01,2436.0,Holt-Winters
Category,Mobile_Devices,2016-07-01,1332.0,Holt-Winters
Category,Mobile_Devices,2016-08-01,2640.0,Holt-Winters
Category,Mobile_Devices,2016-09-01,2364.0,Holt-Winters
Category,Mobile_Devices,2016-10-01,1653.0,Holt-Winters
Category,Mobile_Devices,2016-11-01,1035.0,Holt-Winters
Category,Mobile_Devices,2016-12-01,2040.0,Holt-Winters
Category,Personal_Care,2017-02-01,500.0,Naive
Category,Personal_Care,2017-03-01,500.0,Naive
Category,Personal_Care,2017-04-01,500.0,Naive
Category,Personal_Care,2017-05-01,500.0,Naive
Category,Personal_Care,2017-06-01,500.0,Naive
Category,Personal_Care,2017-07-01,500.0,Naive
Category,Personal_Care,2017-08-01,500.0,Naive
Category,Personal_Care,2017-09-01,500.0,Naive
Category,Personal_Care,2017-10-01,500.0,Naive
Category,Personal_Care,2017-11-01,500.0,Naive
Category,Personal_Care,2017-12-01,500.0,Naive
Category,Personal_Care,2018-01-01,500.0,Naive
Category,Pet_Supplies,2017-01-01,132.0,Holt-Winters
Category,Pet_Supplies,2017-02-01,326.0,Holt-Winters
Category,Pet_Supplies,2017-03-01,469.0,Holt-Winters
Category,Pet_Supplies,2017-04-01,319.0,Holt-Winters
Category,Pet_Supplies,2017-05-01,462.0,Holt-Winters
Category,Pet_Supplies,2017-06-01,482.0,Holt-Winters
Category,Pet_Supplies,2017-07-01,323.0,Holt-Winters
Category,Pet_Supplies,2017-08-01,456.0,Holt-Winters
Category,Pet_Supplies,2017-09-01,539.0,Holt-Winters
Category,Pet_Supplies,2017-10-01,490.0,Holt-Winters
Category,Pet_Supplies,2017-11-01,589.0,Holt-Winters
Category,Pet_Supplies,2017-12-01,494.0,Holt-Winters
Category,Snacks,2017-02-01,507780.0,Holt-Winters
Category,Snacks,2017-03-01,571599.0,Holt-Winters
Category,Snacks,2017-04-01,538097.0,Holt-Winters
Category,Snacks,2017-05-01,535179.0,Holt-Winters
Category,Snacks,2017-06-01,672268.0,Holt-Winters
Category,Snacks,2017-07-01,530031.0,Holt-Winters
Category,Snacks,2017-08-01,509234.0,Holt-Winters
Category,Snacks,2017-09-01,571279.0,Holt-Winters
Category,Snacks,2017-10-01,675873.0,Holt-Winters
Category,Snacks,2017-11-01,624796.0,Holt-Winters
Category,Snacks,2017-12-01,772769.0,Holt-Winters
Category,Snacks,2018-01-01,437808.0,Holt-Winters
Category,Sports,2017-02-01,0.0,SARIMA
Category,Sports,2017-03-01,10761378.0,SARIMA
Category,Sports,2017-04-01,0.0,SARIMA
Category,Sports,2017-05-01,0.0,SARIMA
Category,Sports,2017-06-01,0.0,SARIMA
Category,Sports,2017-07-01,5163639.0,SARIMA
Category,Sports,2017-08-01,0.0,SARIMA
Category,Sports,2017-09-01,0.0,SARIMA
Category,Sports,2017-10-01,601548.0,SARIMA
Category,Sports,2017-11-01,5863376.0,SARIMA
Category,Sports,2017-12-01,0.0,SARIMA
Category,Sports,2018-01-01,0.0,SARIMA
Category,Toys,2017-01-01,709.0,SARIMA
Category,Toys,2017-02-01,693.0,SARIMA
Category,Toys,2017-03-01,814.0,SARIMA
Category,Toys,2017-04-01,744.0,SARIMA
Category,Toys,2017-05-01,704.0,SARIMA
Category,Toys,2017-06-01,816.0,SARIMA
Category,Toys,2017-07-01,662.0,SARIMA
Category,Toys,2017-08-01,621.0,SARIMA
Category,Toys,2017-09-01,741.0,SARIMA
Category,Toys,2017-10-01,630.0,SARIMA
Category,Toys,2017-11-01,895.0,SARIMA
Category,Toys,2017-12-01,727.0,SARIMA
Category,Travel_Accessories,2017-01-01,26757.0,Holt-Winters
Category,Travel_Accessories,2017-02-01,58885.0,Holt-Winters
Category,Travel_Accessories,2017-03-01,63817.0,Holt-Winters
Category,Travel_Accessories,2017-04-01,47469.0,Holt-Winters
Category,Travel_Accessories,2017-05-01,83751.0,Holt-Winters
Category,Travel_Accessories,2017-06-01,77520.0,Holt-Winters
Category,Travel_Accessories,2017-07-01,50208.0,Holt-Winters
Category,Travel_Accessories,2017-08-01,73914.0,Holt-Winters
Category,Travel_Accessories,2017-09-01,52551.0,Holt-Winters
Category,Travel_Accessories,2017-10-01,36468.0,Holt-Winters
Category,Travel_Accessories,2017-11-01,52292.0,Holt-Winters
Category,Travel_Accessories,2017-12-01,83643.0,Holt-Winters
